,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
37,"CHAVAKACHCHERI",48,"Chavakachcheri",3,9,3,2,6,2,3,3,8,4,3,5,0,2,4,1,5,4,3,9,3,6,1,5,6,4,3,4,3,1,3,2,3,1,2,1,6,2,0,3,4,5,1,9,3,3,5,7,7,9,6,8,205
177,"CHEDDIKULAM",49,"Cheddikulam",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,1,3,1,0,14
12,"CHENKALADY",50,"Chenkaladi",0,1,1,1,1,0,0,1,0,1,3,2,2,2,0,2,6,0,1,1,1,1,1,3,8,0,2,2,3,3,3,1,0,1,0,0,0,0,1,0,3,2,2,1,0,1,4,5,4,4,2,3,86
153,"Chilaw",51,"Chilaw",11,4,7,7,3,3,0,0,4,0,0,0,0,0,0,0,3,0,1,1,1,4,1,3,4,6,1,6,1,3,2,1,1,0,1,2,1,4,1,0,3,4,4,8,2,5,8,6,6,6,1,8,148
49,"DAMANA",53,"Damana",0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16
180,"DAMBULLA",54,"Dambulla",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,22
284,"Dankotuwa",55,"Dankotuwa",0,1,1,0,0,2,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,2,0,1,0,2,3,0,1,0,2,1,1,0,5,0,5,2,1,3,4,0,2,2,0,5,3,6,4,6,5,5,83
133,"DEHIYATHAKANDIYA",58,"Dehiattakandiya",0,4,0,1,1,3,1,3,0,0,1,0,1,0,3,1,3,2,1,1,0,2,5,1,1,2,1,2,4,2,2,1,0,3,0,0,0,1,0,3,2,1,1,1,1,1,0,0,1,1,0,0,65
71,"DEHIOVITA",56,"Dehiowita",6,2,0,1,2,3,4,4,4,3,2,2,0,2,2,1,3,3,5,2,3,8,6,27,15,18,12,9,3,9,12,13,15,6,5,4,3,5,3,0,1,0,0,3,6,1,1,0,3,2,0,1,245
173,"DEHIWALA",57,"Dehiwala",93,53,66,49,25,23,17,16,11,8,7,3,2,8,3,7,16,10,24,20,42,75,76,37,53,40,40,36,19,14,12,13,14,8,7,11,8,19,16,12,13,20,18,20,28,29,28,35,22,39,40,23,1328
