"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,"CASE_SUM"
"ELAPATHA",70,"Elapatha",2,0,2,4,1,2,3,3,1,0,4,1,0,3,3,8,1,5,8,8,25,13,45,22,23,12,21,23,16,25,7,20,17,21,14,10,6,9,4,1,3,4,2,2,0,1,3,1,2,1,0,0
"Ella",71,"Ella",2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3
"ELPITIYA",72,"Elpitiya",0,1,4,4,1,5,1,3,2,1,0,3,1,0,0,4,1,0,0,1,0,8,1,4,0,4,5,0,4,7,6,5,5,5,5,6,6,1,3,1,4,2,0,5,2,0,6,0,0,0,0,2
"EMBILIPITIYA",73,"Embilipiti",2,1,0,2,4,4,1,6,3,4,2,2,3,1,2,0,1,4,1,3,2,4,12,10,5,3,6,4,6,2,10,6,5,2,1,1,1,1,3,4,7,7,2,14,15,6,11,10,19,8,22,6
"ERAVUR",74,"Eravoor",15,14,14,7,0,4,1,0,4,0,1,2,3,0,2,1,2,2,2,0,0,3,1,3,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,3,0,0,0,0,1,0,1,2,5,0
,,"Galagedara",5,0,2,2,2,1,0,2,0,1,2,1,4,1,0,1,0,0,0,0,2,0,2,3,2,3,2,1,1,3,2,2,3,3,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1
,,"Galaha",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"GALENBIDUNUWAWE",75,"Galenbindu",0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,1,2,0,1,2,2,1,0,1,1,0,0,1,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,0,1
"GALEWELA",76,"Galewela",3,2,1,0,1,1,1,0,0,0,0,2,0,0,1,2,1,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,2,6,1,5,3
"Galgamuwa",77,"Galgamuwa",2,0,1,4,0,3,1,3,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,2,1,0,1,2,1,1,4,4,1,0,1,1,0,0,0,0,2,0,2,1,1,3,0,1,1,1,1
"GALIGAMUWA",78,"Galigamuwa",2,6,7,13,0,4,1,2,3,0,3,1,5,1,4,3,9,2,2,3,9,7,3,5,5,5,5,3,14,3,7,2,2,6,2,4,4,0,3,0,1,3,3,3,0,1,2,2,2,3,5,0
"GALNEWA",80,"Galnewa",0,0,3,1,1,0,0,0,0,0,0,0,2,1,1,1,0,2,0,1,0,0,0,1,2,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0
"GAMPAHA",81,"Gampaha",1,16,6,14,31,13,22,16,12,3,6,9,3,10,7,10,5,5,1,20,24,17,20,21,15,19,16,24,24,25,18,19,15,7,3,10,8,8,6,8,4,15,8,15,15,13,16,13,7,14,11,10
,,"Gampola(Ud",7,0,7,2,4,3,6,0,1,3,1,2,1,0,1,0,1,1,4,5,6,7,5,6,10,4,8,3,6,2,4,3,1,4,0,1,2,2,1,5,5,2,9,0,3,1,6,0,2,4,4,1
"GONAPINUWALA",87,"Ganapeenuw",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Ganewatta",82,"Ganewatta",0,0,0,1,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,1,2,0,0,0,1,1
"KANDY FOUR GRAVETS & GANGAWATA KORALE",125,"Gangawata-",1,1,0,4,3,0,1,3,2,0,0,3,0,0,3,1,10,1,5,5,4,5,4,11,8,4,7,3,5,11,12,6,6,5,0,1,1,4,2,1,0,2,2,3,1,3,4,2,6,5,1,4
"Girandurukotte",84,"Giranduruk",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Giribawa",85,"Giribawa",0,0,2,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,2,3,1,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GODAKAWELA",86,"Godakawela",2,2,4,3,0,5,8,2,2,4,3,2,3,2,0,2,0,0,1,2,0,2,1,5,2,0,2,2,2,4,2,5,5,1,2,3,0,0,0,0,3,3,2,2,1,3,4,5,0,1,5,2
"GORAMANKADAWELA",88,"Gomarankad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HABARADUWA",89,"Habaraduwa",1,1,0,1,0,1,1,0,2,0,1,0,0,1,0,0,3,0,1,2,0,0,2,1,1,0,1,2,3,0,4,6,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0
"HAKMANA",90,"Hakmana",0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
