,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,"CASE_SUM"
221,"ELPITIYA",72,"Elpitiya",0,0,0,0,1,3,0,0,4,1,0,0,4,2,1,0,5,4,0,1,6,2,3,8,9,3,1,1,1,4,2,1,2,0,0,3,1,0,2,2,0,0,0,0,0,0,1,1,0,7,5,0,91
264,"EMBILIPITIYA",73,"Embilipitiya",7,9,10,10,9,3,4,4,5,10,6,3,8,7,7,9,6,3,1,1,1,3,0,2,3,1,4,2,4,2,0,1,1,0,4,3,0,3,4,0,0,0,0,0,2,2,4,2,1,2,2,2,177
106,"ERAVUR",74,"Eravoor",3,1,3,5,1,0,1,2,2,1,2,3,0,2,1,1,0,0,0,1,2,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,2,2,2,1,0,0,0,0,0,0,0,1,1,0,47
283,,,"Galagedara",0,2,1,0,1,2,2,4,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25
91,,,"Galaha",0,0,0,0,1,1,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,19
268,"GALENBIDUNUWAWE",75,"Galenbindunuwewa",2,0,0,0,0,2,0,3,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,2,1,0,0,0,1,1,2,0,0,26
167,"GALEWELA",76,"Galewela",5,2,0,0,5,1,0,0,5,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,3,2,0,1,1,0,0,0,1,1,3,0,2,0,43
107,"Galgamuwa",77,"Galgamuwa",1,3,2,1,2,1,1,0,0,4,0,2,0,1,2,1,1,1,0,2,1,4,1,5,0,2,5,9,4,0,6,1,3,0,1,3,3,2,1,1,6,4,6,2,1,0,2,3,1,0,0,0,102
212,"GALIGAMUWA",78,"Galigamuwa",4,5,3,1,2,8,2,1,2,4,1,0,0,0,2,3,2,6,5,1,0,0,8,3,1,2,2,2,4,0,1,4,3,1,1,2,3,0,1,1,1,2,0,2,0,2,2,0,3,1,1,2,107
15,"GALNEWA",80,"Galnewa",0,1,0,0,0,0,0,0,0,1,1,1,2,1,2,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,20
