"cell","resident","work"
26387,3192,474
26389,2719,562
26391,1464,241
26392,120,56
26393,3236,882
26396,3240,484
26403,1588,303
26408,3736,394
26427,1650,229
26450,215,46
26492,1967,289
26546,4689,407
26563,5780,435
26564,62,12
26628,127,201
26629,6756,2446
26630,1360,1023
26631,1761,477
26633,934,720
26634,2417,372
26656,2329,342
26674,3146,379
26708,1232,297
26752,878,174
26754,2924,3271
26755,256,296
26782,802,84
26846,467,66
26879,947,373
26880,8093,1664
26881,1740,505
26882,3940,1232
26883,1304,419
26884,2770,1529
26885,2879,841
26886,6719,2329
26887,855,617
26889,3622,898
26890,2304,591
26891,5516,2048
26892,1218,561
26893,1376,563
26894,3536,1569
26895,1011,1508
26897,1779,1101
26905,1767,934
26938,3084,296
26964,680,131
27006,4661,1138
27042,598,255
27098,2467,303
27130,12,6
27131,11645,3471
27132,5123,1230
27133,1507,435
27134,3851,1262
27135,2550,772
27136,1980,1167
27137,4203,4434
27138,783,251
27142,29,56
27143,2690,438
27145,196,106
27148,5530,2159
27149,4560,1431
27152,3866,1086
27155,3518,1178
27175,4746,1530
27209,9630,2012
27247,2344,262
27381,3602,1048
27382,9683,2445
27383,5282,772
27384,5736,2062
27386,5988,2852
27387,3520,1572
27388,977,244
27389,3090,662
27390,3222,842
27392,1317,192
27395,1694,233
27404,1532,419
27415,1256,154
27427,1553,266
27489,219,48
27494,1051,164
27498,254,41
27518,2108,483
27632,10732,3806
27633,8121,1161
27634,7093,4145
27635,3604,4463
27636,3695,1797
27637,1159,413
27638,4044,1189
27639,1759,292
27640,1531,766
27642,1760,382
27643,2550,495
27645,1017,152
27646,457,71
27647,2387,497
27649,3095,725
27654,1312,379
27763,2709,595
27764,130,46
27796,3453,892
27797,3007,2233
27883,11011,4306
27884,10024,2807
27885,5205,2555
27886,3613,2312
27887,4306,2822
27888,3386,890
27889,2335,373
27890,1105,315
27891,3305,1440
27892,1456,286
27894,510,93
27895,2922,553
27897,2042,789
27902,1116,510
27908,1804,227
27911,2135,297
27930,2432,274
27971,12781,2314
28004,2864,478
28015,73,38
28049,377,172
28102,7094,582
28134,8264,7869
28135,5647,3656
28136,5351,3388
28137,2009,1958
28138,1061,474
28139,2628,1159
28140,3615,1165
28142,2374,1589
28143,2478,479
28144,1236,279
28146,1379,524
28154,172,72
28156,1302,207
28216,1195,1139
28239,254,111
28384,3914,6188
28385,4447,7686
28386,3778,2746
28387,6202,5736
28388,3125,3186
28389,2045,797
28390,2016,919
28391,555,554
28392,955,1370
28393,2319,2440
28394,2038,615
28396,1855,743
28397,2084,312
28400,2754,357
28401,3238,928
28405,1980,283
28427,810,150
28467,379,480
28496,2186,684
28497,123,40
28519,724,138
28535,1052,152
28539,1282,411
28545,899,128
28557,919,93
28635,5560,11932
28636,2806,5228
28637,3096,6558
28638,3775,3174
28639,2003,676
28640,4991,3140
28641,2924,1808
28642,1713,1617
28643,3001,2573
28644,2278,954
28645,516,118
28646,2882,1440
28649,115,34
28658,1022,400
28667,1404,185
28675,6064,990
28751,1022,320
28753,865,1160
28754,151,173
28788,150,40
28812,1405,205
28823,557,163
28886,6407,12433
28887,3616,9118
28888,4748,6973
28889,3438,6572
28890,7215,6315
28891,2953,2142
28892,1236,1615
28893,1968,561
28894,1699,336
28895,1704,279
28896,1836,873
28897,1273,204
28899,2280,842
28900,2127,1053
28901,1078,409
28902,1639,296
28905,3688,1139
28912,3596,1366
28960,468,109
28969,12361,2409
29004,4161,952
29012,3462,637
29026,3659,717
29068,810,147
29076,1184,365
29088,961,99
29094,301,71
29136,55,136
29137,12367,20661
29138,7294,23114
29139,8590,10643
29140,3139,2044
29141,1878,380
29142,3386,605
29143,977,333
29144,3315,813
29146,966,137
29147,1673,277
29148,732,205
29149,3,8
29151,656,158
29158,68,22
29165,916,433
29171,112,28
29190,2602,598
29247,2474,554
29387,4768,15619
29388,3171,10919
29389,5079,5387
29390,9913,5735
29391,6709,2554
29392,4897,2038
29393,4127,713
29394,2779,498
29395,4441,934
29396,1209,374
29397,4224,1052
29398,1175,277
29399,894,175
29401,2651,1108
29402,917,339
29403,2939,2307
29405,2704,489
29409,1123,278
29425,2428,442
29429,775,174
29495,301,65
29498,159,38
29533,1140,333
29556,1095,137
29638,2618,6104
29639,8909,18921
29640,17491,11385
29641,9102,6006
29642,4390,3208
29643,2730,1048
29644,5326,935
29645,1756,340
29648,1559,484
29649,1233,346
29650,1080,453
29654,44,117
29663,3264,790
29670,5424,915
29710,2507,325
29730,2257,700
29733,889,214
29736,494,115
29766,1694,464
29891,15061,6750
29892,6869,3403
29893,6227,3280
29894,654,110
29895,1092,279
29896,4237,889
29897,1873,459
29898,1371,337
29900,1656,677
29903,2055,690
29906,3601,1174
29909,4099,543
29912,658,165
29917,1973,2401
29925,517,129
29966,758,176
30021,3705,824
30026,797,162
30036,4358,996
30142,4032,1893
30143,6609,1185
30144,2103,1326
30145,2160,1236
30146,3109,1748
30147,962,184
30148,5444,1698
30152,3009,1115
30154,4558,2149
30157,192,189
30158,1879,3220
30181,9207,6741
30242,5533,2029
30243,143,73
30244,NA,3
30261,2220,429
30300,491,68
30322,144,26
30393,1356,209
30394,5048,839
30395,3227,1168
30396,4709,3910
30397,1302,601
30398,3038,1691
30400,1300,373
30401,2323,317
30403,2468,573
30407,2559,940
30410,5935,3476
30420,944,157
30430,1127,686
30434,1770,885
30439,2544,665
30481,1274,219
30489,1555,396
30494,12,28
30495,506,241
30496,1909,771
30645,1343,328
30646,5561,1461
30647,1546,1190
30648,1143,393
30649,861,121
30650,2242,1608
30651,921,437
30652,1453,879
30653,2014,422
30654,2207,726
30661,2290,528
30664,1917,395
30666,720,74
30669,1346,171
30673,3816,807
30683,150,339
30745,1262,1952
30750,736,121
30777,3855,1173
30780,3622,595
30812,1038,230
30897,5369,1256
30898,1718,1395
30899,2266,548
30900,2802,860
30901,2609,799
30902,2005,355
30903,2541,1546
30904,1592,684
30908,4550,809
30909,1554,258
30912,1130,452
30913,121,40
30928,1346,187
30953,832,204
30979,3760,638
30994,4027,717
30995,410,97
31027,113,74
31028,10964,5721
31029,401,621
31082,2160,310
31148,5710,1596
31149,6559,1166
31150,3916,3040
31151,1581,259
31152,6225,748
31156,1296,741
31157,4905,895
31161,1917,263
31166,851,133
31172,1441,222
31274,2525,419
31281,159,149
31369,877,92
31398,30,16
31401,4481,1879
31407,5358,1689
31408,1271,843
31409,672,80
31410,1032,321
31413,1474,335
31419,1849,221
31427,2625,318
31457,2079,408
31466,8059,1416
31651,3803,1087
31652,3075,1390
31656,3288,514
31660,1660,483
31663,2393,238
31666,2500,350
31675,1517,184
31738,2945,572
31754,8122,1383
31782,103,25
31903,3524,1853
31904,1099,467
31905,97,714
31906,2100,454
31908,3255,473
31912,656,319
31921,2223,293
31928,1492,223
31949,2022,412
32028,1528,271
32032,2674,708
32045,2421,557
32150,1713,348
32155,3129,1148
32157,8710,3036
32161,1842,402
32162,3207,751
32167,1027,144
32169,5904,1151
32175,2968,562
32182,446,129
32185,2732,278
32195,5279,1540
32235,187,73
32404,3402,494
32405,1408,982
32410,1648,200
32411,2605,279
32415,5964,1110
32449,831,227
32490,1,4
32558,2717,458
32622,798,135
32656,4704,1767
32658,7609,792
32660,2178,279
32662,125,65
32668,1963,314
32682,5527,1882
32697,2963,822
32712,4039,745
32729,605,144
32739,4202,1247
32742,1764,424
32802,1559,291
32834,2275,221
32905,3247,399
32907,1056,380
32912,2737,345
32916,3087,313
32922,1281,267
32924,2440,273
32926,2125,256
32929,1508,316
32977,14437,1903
32978,2092,2457
33154,3087,433
33158,5328,1635
33160,2263,278
33165,5334,972
33170,4022,927
33186,1628,194
33286,2745,470
33405,244,51
33409,2504,1456
33412,1798,161
33418,1486,258
33420,1565,289
33424,2457,542
33435,1197,155
33442,84,25
33519,2783,629
33594,531,36
33656,2191,413
33659,1827,1074
33662,1365,258
33664,2231,267
33666,3227,416
33669,128,54
33673,4851,2610
33675,4605,1562
33694,4241,409
33724,904,283
33742,10466,2429
33812,1494,216
33909,1770,289
33911,3261,1931
33912,13,281
33913,2576,1480
33922,1894,3336
33923,1857,1741
33924,511,135
33931,3889,563
33935,5192,419
33986,4362,793
34013,2209,432
34160,2043,495
34161,1514,350
34162,1868,917
34163,3438,1643
34167,1667,233
34190,3893,1125
34211,681,401
34303,5431,1052
34380,2734,288
34407,2223,194
34413,2757,492
34423,2566,448
34424,284,75
34427,1296,154
34430,2365,573
34437,164,48
34440,985,217
34486,1139,126
34495,2363,639
34510,1567,334
34520,2662,605
34528,2598,409
34563,963,151
34662,572,120
34667,523,152
34668,4222,918
34670,2161,372
34672,1191,151
34673,114,48
34676,1588,206
34679,3100,428
34682,4362,1010
34695,1644,164
34710,1940,288
34714,1953,394
34720,425,131
34882,6349,728
34913,2404,1617
34914,1679,344
34915,6193,950
34924,216,71
34925,2535,659
34934,6435,1206
34939,7453,4323
34959,5144,640
34990,3641,710
35102,1593,136
35164,409,414
35166,3632,541
35173,1234,173
35178,1819,213
35183,895,138
35185,1588,387
35187,1932,972
35193,3507,330
35203,1961,260
35218,5553,751
35237,821,236
35244,2879,685
35249,4919,558
35295,3329,656
35368,2854,335
35410,785,162
35414,811,815
35415,5325,1809
35417,978,135
35421,5080,502
35440,6589,3027
35455,96,26
35492,2937,551
35515,6336,1538
35665,1446,661
35675,3466,561
35683,1346,965
35686,7931,1705
35700,1672,235
35745,393,247
35755,1963,243
35769,88,62
35916,286,59
35917,1289,957
35918,8074,6585
35919,399,852
35921,2019,292
35929,2265,870
35931,3947,524
35941,1408,182
35944,7881,1369
35971,4332,523
35981,10837,1273
35992,4817,1044
35994,2519,3259
36067,2156,843
36162,78,20
36167,696,253
36169,5,34
36170,4464,7296
36173,3475,488
36176,4464,1740
36177,5703,1361
36205,2361,226
36237,3225,482
36245,7546,2238
36246,4222,786
36293,1073,194
36311,1327,285
36417,776,160
36420,627,595
36421,1089,3579
36441,2162,265
36448,1994,301
36494,741,96
36498,2397,469
36502,4751,661
36510,5965,1075
36513,2908,533
36519,1080,490
36524,1587,383
36576,1009,152
36668,5484,1170
36673,4223,865
36675,2343,255
36677,1721,217
36679,2578,299
36682,415,55
36688,2303,265
36690,1247,159
36711,693,95
36717,1469,284
36758,4008,763
36889,2194,237
36915,3132,373
36918,3706,1441
36933,4608,513
36934,2235,356
36953,3008,492
36959,1966,190
36996,5009,441
36999,703,76
37001,5551,1457
37167,294,395
37168,10803,6630
37169,7732,2187
37172,5179,1244
37176,638,86
37178,2833,1380
37179,293,272
37182,1146,212
37192,902,115
37200,991,103
37206,1764,299
37232,4815,420
37239,2052,268
37270,962,274
37298,2124,343
37304,2110,425
37419,4622,1272
37421,830,162
37423,2017,635
37425,2194,333
37446,2062,267
37454,612,82
37477,7114,870
37487,3225,620
37501,8465,826
37503,3039,776
37513,144,70
37523,737,250
37562,1116,282
37609,1248,170
37642,9223,1873
37643,440,78
37670,3904,681
37671,14287,1858
37672,3991,767
37676,1467,235
37688,1149,256
37689,4239,1116
37690,600,114
37695,1665,334
37701,1372,215
37710,1206,1016
37711,5012,1155
37754,1731,333
37874,3169,575
37891,2568,454
37893,214,77
37894,7587,997
37926,3381,575
37928,1349,232
37929,1243,209
37932,3223,505
37936,5116,796
37943,1220,226
37952,384,173
37962,763,218
37968,529,121
38003,3214,596
38060,2298,444
38145,5666,619
38172,3492,867
38173,1696,439
38178,2246,360
38200,195,62
38204,1820,722
38209,2589,433
38215,44,27
38220,1563,386
38225,6038,1261
38228,581,1322
38230,88,27
38243,8958,1310
38247,3845,789
38255,4439,1404
38263,1568,169
38268,2615,495
38272,1236,312
38367,2153,292
38381,2798,316
38423,4253,466
38425,444,73
38426,2192,342
38431,3474,511
38440,1586,219
38479,5279,4565
38481,824,271
38483,862,194
38488,7577,1371
38490,4207,3428
38498,169,149
38499,1177,274
38500,5311,1184
38505,1184,247
38506,1004,171
38508,612,76
38517,425,232
38534,377,84
38648,2430,223
38674,1939,183
38676,7645,1891
38679,3195,393
38684,4990,759
38693,1251,124
38697,1968,339
38716,1903,268
38722,511,75
38736,86,10
38738,1194,248
38752,2927,849
38753,2452,1622
38758,2229,3764
38760,2233,515
38761,55,34
38762,1583,445
38766,3929,527
38769,2410,783
38778,3181,455
38812,1155,287
38939,566,159
38953,1030,112
38958,8429,3050
38967,944,1260
39006,3183,759
39008,2546,889
39011,4077,3125
39017,1515,423
39113,1116,149
39148,2462,246
39149,360,20
39176,138,47
39178,4470,802
39191,4048,734
39201,2097,638
39230,2123,383
39236,3123,631
39246,981,126
39252,2333,402
39255,3118,362
39260,1160,527
39262,3386,1388
39263,5101,2749
39268,514,155
39269,3912,1528
39271,74,60
39275,6303,2368
39375,1687,387
39391,682,237
39427,553,124
39428,3252,568
39430,1964,308
39433,2611,318
39446,2790,1379
39457,661,75
39514,2329,1381
39515,3528,7061
39516,1056,2568
39517,1914,1489
39535,1701,253
39554,1939,314
39559,285,106
39631,300,1058
39632,3706,2027
39633,211,98
39652,3273,544
39683,7604,2697
39687,4151,468
39706,1939,212
39710,1008,292
39722,2363,1074
39731,357,79
39750,1471,275
39755,733,182
39759,2966,453
39762,189,70
39764,2339,444
39765,3161,656
39766,4580,7917
39767,156,1116
39769,8577,1596
39772,2511,407
39776,3245,756
39777,6010,2013
39790,31,42
39791,716,303
39796,23,10
39832,1363,128
39883,856,299
39930,1918,348
39932,7897,706
39941,5001,970
39948,832,100
39969,2559,276
40018,5801,2804
40031,2820,1017
40133,3236,1462
40180,3501,421
40188,2847,905
40196,176,200
40242,7450,1943
40246,6909,901
40259,244,70
40264,2765,364
40267,1282,1058
40268,1385,505
40270,2749,768
40276,3182,872
40286,905,140
40295,819,254
40431,3581,261
40432,2795,928
40442,3022,1818
40447,1269,414
40448,1193,1151
40451,3444,1156
40457,3669,586
40500,2249,624
40512,5713,1043
40518,10888,3775
40519,2,3
40522,2616,498
40524,2959,611
40525,1274,195
40532,38,14
40560,3549,871
40566,2370,892
40633,101,28
40687,3457,943
40713,6783,2292
40719,1945,257
