"moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"Galewela",3,2,1,0,1,1,1,0,0,0,0,2,0,0,1,2,1,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,2,6,1,5,3
"Laggala-(p",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matale",1,2,0,0,1,0,1,1,1,1,0,1,2,1,0,1,0,2,0,2,1,0,0,8,1,3,1,1,0,0,1,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,3,1
"Naula",1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,3,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Pallepola",0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,4,2,1,1,0,2,0,1,1,0,6,2,6,2,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0
"Rattota",0,3,4,0,1,0,2,1,2,1,0,4,6,3,3,0,2,1,1,1,6,0,3,2,11,1,2,0,1,0,0,0,1,1,3,0,0,1,0,2,1,1,1,0,2,1,0,1,0,0,1,1
"Ukuwela",0,1,3,1,0,0,4,1,2,0,2,5,5,0,0,4,3,0,2,0,0,0,0,3,1,1,0,4,0,0,1,0,2,4,2,2,2,2,3,6,6,15,2,8,1,6,1,6,1,10,6,0
"Yatawatta",0,0,1,1,2,1,0,0,0,0,1,0,1,1,1,0,1,1,3,0,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0
"Ambanganga",1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"MC-Matale",3,2,1,4,3,4,6,1,4,8,0,1,1,0,0,2,2,0,2,0,1,0,4,2,7,0,0,0,0,0,0,0,1,14,6,6,2,1,0,0,0,0,0,0,0,1,2,0,0,0,3,1
"Wilgamuwa",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,2,3,4,1,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,1,2,1,1,1
"Ambagamuwa",0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,4,0,0,1,0,0,0,1,3,10,7,2,3,0,4,1,1,2,2,0,1,0,0,5,0,3,0,0,1,0,2,0,0,0,0,0,4
"Nuwara-Eli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Hanguranke",2,3,1,3,2,1,1,6,2,3,1,3,2,3,2,0,0,1,3,0,0,1,7,2,1,4,2,0,1,1,0,4,0,1,0,1,1,0,1,1,0,3,0,1,0,0,1,1,0,0,0,1
"Walapone",1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
"Kothmale",0,0,1,0,0,0,1,7,3,1,4,1,0,0,0,1,0,0,1,1,1,0,1,1,0,4,1,0,2,0,0,0,1,2,0,1,0,0,1,0,1,2,1,1,1,2,1,1,1,0,1,0
"Maskeliya",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lindula(Th",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mathurata",1,1,2,1,1,0,2,0,0,1,0,0,3,2,0,1,0,2,0,1,1,1,0,1,0,3,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Ragala",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Nawathipan",0,0,0,0,2,0,2,0,0,1,0,0,2,1,0,0,0,0,0,2,0,2,0,0,2,1,0,2,0,0,2,0,1,1,0,3,0,0,1,0,1,0,0,1,1,2,2,2,0,2,1,0
"Kotagala",1,0,0,1,3,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Bagamwanta",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"MC-Nuwarae",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Akmeemana",1,2,0,2,0,0,2,0,0,1,3,0,1,1,0,0,0,1,0,0,2,1,2,2,0,5,7,3,0,5,1,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
"Ambalangod",3,0,0,1,1,0,2,0,0,0,1,2,7,5,0,2,2,1,7,0,1,1,4,3,0,1,10,2,1,3,1,0,1,0,0,0,2,0,1,0,1,0,3,0,0,3,3,2,7,3,4,1
"Baddegama",1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,2,4,1,2,4,3,3,0,5,0,0,0,2,1,1,6,4,0,0,2,2,2,0,1,1,0,0,1
"Balapitiya",1,2,2,2,0,2,0,2,0,0,0,0,0,1,2,2,3,1,0,0,1,1,1,1,2,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,2,2,0,1,0,0,2,0,0,0,0
"Bope-(Podd",4,2,0,3,3,2,1,0,5,0,0,0,1,1,0,4,0,1,0,1,0,1,4,0,2,1,5,0,2,0,2,2,4,1,2,6,0,0,0,0,1,0,0,1,1,0,2,1,1,1,0,0
"Elpitiya",0,1,4,4,1,5,1,3,2,1,0,3,1,0,0,4,1,0,0,1,0,8,1,4,0,4,5,0,4,7,6,5,5,5,5,6,6,1,3,1,4,2,0,5,2,0,6,0,0,0,0,2
"Habaraduwa",1,1,0,1,0,1,1,0,2,0,1,0,0,1,0,0,3,0,1,2,0,0,2,1,1,0,1,2,3,0,4,6,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0
"Hikkaduwa",4,0,1,0,2,1,1,3,2,4,3,1,2,1,2,1,1,2,0,1,7,2,4,2,4,4,7,2,0,3,1,4,1,1,2,1,3,3,1,1,1,0,2,1,1,1,0,1,3,2,0,2
"Tawalama",4,1,1,1,1,0,0,3,2,0,3,0,2,1,3,1,3,0,4,3,4,2,4,4,8,8,7,7,16,2,18,13,10,13,4,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0
"Yakkalamul",1,6,0,1,3,4,2,0,6,3,5,0,3,1,0,0,3,4,0,1,3,3,3,6,5,3,7,1,2,2,2,2,1,2,1,0,2,0,0,3,0,0,1,1,1,2,2,0,0,3,0,0
"Induruwa",0,1,0,2,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,2,1,0,0,0,2,2,0,0,1,1,1,0,1,0,0,0
"Karandeniy",2,1,3,4,1,6,6,1,2,4,0,7,3,1,0,3,1,3,4,2,0,1,0,2,1,2,5,2,3,2,4,2,3,2,3,0,2,2,1,0,0,2,0,1,1,0,1,0,0,1,1,0
"MC-Galle",0,8,2,1,3,1,0,1,7,0,4,1,2,5,3,1,0,1,1,3,8,10,12,6,4,7,11,10,1,4,7,7,5,0,3,0,1,4,0,0,0,2,0,0,1,2,0,0,4,3,2,0
"Udugama(Na",2,0,3,0,0,7,0,0,3,0,5,3,6,2,0,1,0,4,0,0,3,2,2,2,4,2,2,4,0,1,2,0,2,1,3,2,0,1,0,0,2,1,2,0,2,1,2,0,2,1,0,0
"Niyagama",0,1,0,4,5,3,1,5,5,5,1,3,9,1,0,5,2,1,0,2,3,3,6,4,2,4,2,0,7,6,5,3,8,4,3,2,2,2,0,0,0,1,0,1,2,0,3,0,0,0,0,0
"Neluwa",0,2,1,1,2,0,2,2,6,4,2,5,1,4,4,4,0,3,1,1,2,2,0,2,7,1,7,2,3,3,0,3,6,4,0,4,2,0,1,0,0,1,2,0,0,0,1,1,2,0,1,0
"Imaduwa",3,0,2,0,0,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,3,0,2,1,1,2,3,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,2,1,0,2,0,0
"Ganapeenuw",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Divitura/W",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
"Ambalantot",0,0,1,2,0,0,0,0,1,1,0,0,0,2,2,1,1,0,2,0,0,1,0,2,1,3,0,5,3,1,0,4,2,0,0,0,2,1,1,3,4,1,0,0,0,0,4,2,1,0,5,3
