MOH_name,MOH_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Opanayaka,303,29.3319611371,30.2393572589,33.355464171,33.0434895712,34.8743572253,32.8994693728,32.1250727297,33.9314848703,33.1344218174,34.2838710371,34.1534797035,33.6930408349,34.5447709064,33.852956723,34.0715381808,34.7255484039,34.0224322747,31.8856288545,31.96542264,31.5895491363,31.2792004244,30.2095915424,30.0416076325,29.8297982416,29.7174646851,30.3686870421,29.8251896087,30.2445602765,30.2570412441,30.3792156904,30.6150042203,30.0041474167,31.7672266864,32.011559882,32.7316180927,29.6912051791,29.8765915788,30.4925014571,33.0311095702,32.1228927907,31.0867612703,30.7541050513,31.9667497194,32.1063426218,32.6969922952,32.1368813664,32.2216123712,31.9329608152,30.6823635905,31.4958598794,32.1124585935,32.0492301351
Thirappane,17,27.7311249477,28.1662671783,30.151742357,29.1735027892,30.0629682517,30.1772543573,30.3198985749,31.4076872295,31.1156683222,32.2995209266,33.3016228245,33.0615855124,34.6306733836,34.1782124523,34.1997332201,34.664617258,34.9601748528,33.7327746401,32.6716408551,33.0238618522,32.9749133497,31.4840374332,31.5163600831,31.5884800018,31.7322678839,32.1158810418,32.5805262327,32.1884803609,31.9032442249,32.2985633095,32.8599082909,32.7322952397,32.2432816459,33.4704430563,34.5964613768,30.6327747589,30.6941202406,32.1735032226,33.7177696009,33.8732630926,33.6868570683,32.2154295395,32.1938809379,32.5482307107,31.2337055625,30.6374568607,31.640967853,29.8316039567,28.6304334914,29.841659713,28.8147375954,29.2983503844
Horana,163,30.3999996185,30.1714286804,32.2857148307,32.6142861502,33.6857147217,31.8571428571,31.6142856053,32.300000327,31.8714283535,32.7285712106,32.9428574698,32.9714290074,33.1857141767,33.3428573608,33.1428565979,33.1428576878,33.4285714286,31.5142860413,32.8571428571,32.1142856053,32.0000002725,31.100000109,30.8857143947,30.7142857143,30.6285716466,30.7142857143,30.9714284624,30.6285713741,30.7428572518,30.700000218,30.928571701,29.8857143947,31.2000004904,31.3142855508,31.5142860413,30.2300494997,30.6714286804,30.3857141222,31.5729068605,31.6428571429,31.5142854963,30.7857145582,31.6857147217,31.6142856053,31.6428571429,31.6428568704,31.6428571429,31.6999999455,31.3571428571,30.9428569249,31.8514282136,31.871428081
Thihagoda,287,28.7571427482,29.9428566524,29.8142855508,30.7428569794,30.7714285169,30.728572028,30.2571427482,30.2571430206,30.328571592,32.3571425847,32.3285715921,31.1571426392,31.4714290074,31.5999998365,31.8999996185,31.8285707746,32.1428571428,30.7571427482,30.5285712651,29.6285713741,29.9428571973,29.2285714831,28.9857142312,28.8857143947,28.799999782,28.9000001635,28.7857142857,28.3857143947,28.699999673,28.6714286804,28.828571592,27.7571430206,28.7142857143,28.6999999455,28.9857139588,28.8428573608,28.5285715376,28.5428573064,29.6142861502,29.4142859323,29.4142856598,28.2285714831,29.1285716465,29.6428571429,30.299999782,30.5000002725,30.1428574153,29.9571426937,29.7571430206,29.2571427482,29.1857141767,28.9857145037
Anuradhapu,61,28.399999891,28.4285711561,30.5714285714,30.1571434566,30.9285714286,31.0428570339,30.5428573063,32.6142858778,31.7714285169,32.6142861503,33.799999782,33.2714282445,34.8142863682,34.4142859323,35.1571426392,35.2285712106,35.3142858233,34.100000109,33.3142855508,33.7714287894,33.8142852783,32.5857143402,32.5,32.899999891,33.2142862592,33.4142859323,33.6428571428,33.5,32.899999891,33.2428569794,34.1714286804,33.4142859323,33.5285715376,34.900000436,35.3571423122,30.9999997275,31.4285714286,33.1571426392,34.5571425302,35.0142854963,34.5,33.0285707201,33.0857146127,32.9285714285,31.7714285169,31.0571430751,32.099999564,30.1857141767,28.9714284624,30.6285716465,29.3000000545,29.600000109
Tanamalwila,235,27.3453674799,27.801604819,29.7192613648,28.7234850106,29.8278834424,29.1638825859,29.3218583879,30.6839889923,30.7552791946,30.4268870593,31.6603457094,31.8403326117,32.7914596504,33.2690392637,32.7719511788,34.1699100804,33.4869803201,31.7494204289,32.2837999467,32.8504659598,32.7539313864,31.532089234,32.0860361585,31.6718475588,32.8921858141,33.183129803,33.1137879958,32.8446975832,32.9616184552,32.6615970938,33.7528743032,33.1684821125,33.2855256964,34.3808746506,32.9246641184,31.4561870576,31.4723306678,33.5593120682,35.263711452,34.7583500743,34.7845892988,32.0094077276,32.2788990068,31.231101924,31.0842049481,31.1803179431,31.0296555353,29.2826371948,28.68308363,28.5805202068,27.6997014338,28.0257261678
Giribawa,286,28.2750070142,28.4807977332,30.3444644123,29.7409654171,30.5917994433,30.6049835954,30.1593724426,31.4535461638,31.111234651,32.7636166096,33.1301352067,33.096562786,33.7206718076,33.5549850781,33.5189114132,33.9489041865,34.2528130297,33.4076325146,32.5594058893,32.9146725362,32.6815310856,31.2018808657,31.1955717841,31.3268578147,31.3410941563,31.7609009744,32.0688454668,31.652439132,31.379730675,31.8132450363,31.9700115713,32.0768776836,31.6577338279,32.6841714562,33.7718163974,30.4665069863,30.2965905689,31.4049785376,32.5361370289,32.8023914959,32.5712624985,31.7208876971,31.6889859155,32.2875606891,31.2123049078,30.3679993514,31.0955256591,29.8391754908,28.8985027536,29.9042218627,29.221496204,29.5824287036
Akurana,226,26.3999996185,26.3428573608,29.0142857688,26.5428573064,29.1142858778,28.5857140677,28.2285712106,29.7285714831,29.8285713196,30.5142860413,30.9857142312,31.4142856598,31.7999995095,31.7142859868,30.9428571974,31.5571430751,31.0571430751,30.0714285714,29.1999999455,29.899999891,29.2571427482,27.700000218,27.2285714831,26.6571431841,26.5571430751,27.7142857143,27.0571433476,27.100000109,27.3714288984,27.7142857143,27.5428573063,27.9857139588,28.3000000545,28.6428574153,30.399999891,26.8428570884,26.5,27.5428573063,29.5,29.5571430751,28.5714285714,28.6999999455,29.1428574153,29.8000000545,30.1285716466,28.9714287349,29.1428574153,28.4857145037,26.2000004905,27.8142858233,27.2285714831,27.7285714831
Piliyandala,172,30.3999996185,30.1714286804,32.2857148307,32.6142861502,33.6857147217,31.8571428571,31.6142856053,32.300000327,31.8714283535,32.7285712106,32.9428574698,32.9714290074,33.1857141767,33.3428573608,33.1428565979,33.1428576878,33.4285714286,31.5142860413,32.8571428571,32.1142856053,32.0000002725,31.100000109,30.8857143947,30.7142857143,30.6285716466,30.7142857143,30.9714284624,30.6285713741,30.7428572518,30.700000218,30.928571701,29.8857143947,31.2000004904,31.3142855508,31.5142860413,30.2300494997,30.6714286804,30.3857141222,31.5729068605,31.6428571429,31.5142854963,30.7857145582,31.6857147217,31.6142856053,31.6428571429,31.6428568704,31.6428571429,31.6999999455,31.3571428571,30.9428569249,31.8514282136,31.871428081
Tissamaharama,202,29.0968938089,29.559840003,31.6379679533,31.1585121826,31.8759178469,30.8714468968,29.7678538283,32.3125167541,32.0129581118,31.7696550397,32.1901756636,32.5281255044,32.8441852903,33.1169508253,32.9633822787,33.924983354,33.4544495777,31.7892750009,32.5437438832,32.2106920395,31.720507352,31.3071266507,31.3022054807,31.5446261031,32.7249829231,32.0004134567,32.7535496099,32.8370395547,31.9227353346,31.0490645789,33.3477461161,33.1758813001,32.4481872031,31.9575333012,31.8682718531,31.6294539856,30.5638100904,31.4539676926,32.6432428569,32.5387861119,32.2852090234,31.3048841803,31.4566697353,31.5843680803,32.1227726052,31.8379452199,31.861609016,30.6134034876,30.224123595,29.5803612213,29.7089510365,29.7120708844
Ambanpola,224,28.1040427294,28.3892827108,30.2730936579,29.5457088585,30.4128523407,30.4504725184,30.1850010843,31.3711895018,31.0735710797,32.6328533684,33.142144491,33.0757136742,33.9297702169,33.6916723494,33.6269103861,34.0885773249,34.4028629393,33.4645265698,32.5485722428,32.8969051026,32.7028596174,31.2050020621,31.2150024783,31.3126206824,31.348097993,31.7700028135,32.1297660095,31.7045281574,31.4473846327,31.8747662101,32.1076262132,32.1950052766,31.7233377944,32.7897679209,33.9261975162,30.4850016838,30.3492887479,31.5326256132,32.7721525605,32.9938183113,32.7928662537,31.7923852375,31.758337488,32.3280973514,31.1857145536,30.4083358157,31.2002425732,29.8164284996,28.8135690593,29.8426186136,29.0945200166,29.495949764
